t_us,ch1,ch2,ch3,ch4,pc_time,label
367028163,1447,896,1118,1310,1770289237.997857,center
367032163,1363,790,977,1190,1770289238.001733,center
367036164,1346,837,1026,1199,1770289238.0059829,center
367040162,1404,912,1124,1293,1770289238.01002,center
367044162,1449,910,1124,1318,1770289238.013946,center
367048163,1361,780,961,1176,1770289238.017836,center
367052163,1346,844,1030,1200,1770289238.0219588,center
367056164,1396,901,1117,1279,1770289238.025975,center
367060162,1462,919,1138,1323,1770289238.029966,center
367064163,1392,806,995,1212,1770289238.033833,center
367068162,1360,834,1022,1201,1770289238.038089,center
367072163,1392,887,1108,1267,1770289238.04193,center
367076164,1463,925,1142,1325,1770289238.045887,center
367080162,1418,831,1032,1233,1770289238.0498712,center
367084163,1372,824,1013,1203,1770289238.054114,center
367088163,1379,871,1078,1242,1770289238.057874,center
367092164,1455,931,1145,1322,1770289238.061965,center
367096162,1429,851,1063,1255,1770289238.065857,center
367100162,1370,810,997,1197,1770289238.0698218,center
367104162,1365,856,1058,1220,1770289238.073826,center
367108163,1441,931,1147,1317,1770289238.077791,center
367112164,1437,868,1087,1278,1770289238.081799,center
367116162,1361,799,986,1187,1770289238.085759,center
367120162,1347,845,1041,1204,1770289238.089789,center
367124163,1423,931,1146,1313,1770289238.093834,center
367128163,1444,887,1114,1301,1770289238.097791,center
367132164,1364,790,978,1187,1770289238.101738,center
367136162,1346,838,1026,1195,1770289238.1057951,center
367140162,1407,916,1127,1293,1770289238.1098292,center
367144163,1443,906,1126,1311,1770289238.113836,center
367148163,1354,782,964,1175,1770289238.117728,center
367152164,1341,840,1030,1197,1770289238.121832,center
367156162,1395,906,1120,1284,1770289238.1258612,center
367160162,1453,916,1131,1319,1770289238.1298938,center
367164163,1374,793,979,1194,1770289238.133748,center
367168163,1349,835,1024,1200,1770289238.137886,center
367172164,1388,891,1109,1267,1770289238.141875,center
367176162,1461,924,1139,1321,1770289238.14594,center
367180162,1402,821,1018,1224,1770289238.1498811,center
367184163,1367,829,1016,1199,1770289238.153929,center
367188163,1382,877,1086,1246,1770289238.157913,center
367192164,1454,929,1144,1322,1770289238.161974,center
367196162,1422,842,1049,1244,1770289238.165958,center
367200162,1368,817,1006,1197,1770289238.1699378,center
367204163,1367,860,1063,1223,1770289238.173909,center
367208163,1441,929,1147,1317,1770289238.177981,center
367212164,1426,860,1072,1266,1770289238.1819541,center
367216162,1363,802,987,1184,1770289238.1858711,center
367220162,1351,849,1049,1206,1770289238.189923,center
367224163,1429,935,1158,1311,1770289238.193988,center
367228164,1435,875,1095,1287,1770289238.19799,center
367232162,1354,794,978,1184,1770289238.201897,center
367236162,1342,841,1030,1202,1770289238.205971,center
367240162,1406,921,1133,1297,1770289238.210023,center
367244163,1442,899,1121,1309,1770289238.2140381,center
367248164,1360,787,976,1187,1770289238.2179468,center
367252164,1345,839,1028,1199,1770289238.221997,center
367256162,1401,910,1123,1285,1770289238.226018,center
367260163,1444,912,1136,1323,1770289238.2300658,center
367264164,1365,784,974,1186,1770289238.234019,center
367268164,1350,843,1039,1203,1770289238.238053,center
367272162,1392,896,1110,1277,1770289238.242047,center
367276163,1461,920,1139,1322,1770289238.2461061,center
367280163,1396,811,1002,1216,1770289238.250093,center
367284164,1363,834,1019,1202,1770289238.254147,center
367288164,1391,883,1096,1257,1770289238.258063,center
367292162,1454,924,1140,1321,1770289238.262166,center
367296162,1413,835,1036,1231,1770289238.266091,center
367300163,1365,823,1014,1197,1770289238.27021,center
367304164,1370,864,1072,1230,1770289238.274074,center
367308164,1440,927,1142,1316,1770289238.2781608,center
367312162,1423,852,1065,1253,1770289238.28213,center
367316162,1366,809,997,1196,1770289238.2860658,center
367320163,1361,853,1056,1218,1770289238.290151,center
367324164,1439,935,1150,1318,1770289238.294286,center
367328164,1436,868,1087,1278,1770289238.298221,center
367332162,1360,798,986,1185,1770289238.302117,center
367336162,1347,845,1041,1204,1770289238.306294,center
367340163,1417,925,1138,1305,1770289238.310307,center
367344164,1442,891,1116,1304,1770289238.3142989,center
367348162,1363,790,977,1187,1770289238.318235,center
367352162,1348,842,1039,1205,1770289238.3222558,center
367356162,1407,911,1119,1289,1770289238.326358,center
367360163,1443,906,1123,1309,1770289238.330315,center
367364164,1351,778,964,1175,1770289238.334205,center
367368164,1347,849,1046,1204,1770289238.338363,center
367372162,1397,901,1118,1283,1770289238.34237,center
367376162,1455,914,1133,1318,1770289238.346373,center
367380163,1379,801,988,1197,1770289238.3502452,center
367384164,1353,838,1028,1198,1770289238.354348,center
367388164,1380,886,1107,1264,1770289238.3583438,center
367392162,1452,921,1137,1319,1770289238.3623948,center
367396163,1402,826,1023,1227,1770289238.366316,center
367400163,1369,833,1023,1205,1770289238.3702981,center
367404164,1386,873,1079,1245,1770289238.374269,center
367408162,1450,925,1138,1316,1770289238.3783,center
367412162,1418,846,1052,1245,1770289238.382248,center
367416163,1369,818,1007,1201,1770289238.386354,center
367420163,1369,860,1062,1224,1770289238.390314,center
367424164,1440,929,1146,1317,1770289238.394284,center
367428162,1427,862,1074,1271,1770289238.398377,center
367432163,1367,804,989,1193,1770289238.402219,center
367436162,1359,850,1050,1213,1770289238.40633,center
367440163,1429,927,1141,1311,1770289238.410317,center
367444164,1439,881,1104,1294,1770289238.414303,center
